Column1/Column 2 Edits					
Column 1	Column 2	* = In existence prior to 1996	Effective Date	"Deletion Date
*=no data"	"Modifier
0=not allowed
1=allowed
9=not applicable"
00100	82075		19960101	19960101	9
00100	82085		19960101	19960101	9
00100	82088		19960101	19960101	9
00100	82101		19960101	19960101	9
00100	82103		19960101	19960101	9
00100	82104		19960101	19960101	9
00100	82105		19960101	19960101	9
00100	82106		19960101	19960101	9
00100	82108		19960101	19960101	9
00100	82128		19960101	19960101	9
00100	82130		19960101	19990331	1
00100	82131		19960101	19960101	9
00100	82135		19960101	19960101	9
00100	82140		19960101	19960101	9
00100	82143		19960101	19960101	9
00100	82145		19960101	19960101	9
00100	82150		19960101	19960101	9
00100	82154		19960101	19960101	9
00100	82157		19960101	19960101	9
00100	82160		19960101	19960101	9
00100	82163		19960101	19960101	9
00100	82164		19960101	19960101	9
00100	82172		19960101	19960101	9
00100	82175		19960101	19960101	9
00100	82180		19960101	19960101	9
00100	82190		19960101	19960101	9
00100	82205		19960101	*	1
00100	82232		19960101	19960101	9
00100	82239		19960101	19960101	9
00100	82240		19960101	19960101	9
00100	82250		19960101	19990331	1
00100	82251		19960101	19960101	9
00100	82252		19960101	19960101	9
00100	82270		19960101	20070401	1
00100	82273		19960101	20051231	1
00100	90760		20060101	20081231	0
00100	90765		20060101	20081231	0
00100	90772		20060101	20081231	0
00100	90773		20060101	20081231	0
00100	90774		20060101	20081231	0
00100	90775		20060101	20081231	0
00100	90780		19960101	20041231	1
00100	90781		19960101	20041231	1
00100	90782		19960101	20041231	0
00100	90783		19960101	20051231	0
00100	90784		19960101	20041231	0
00100	90788		19960101	20051231	0
00100	90835		19960101	19980331	1
00100	90865		19980401	*	1
00100	91000		19960101	20101231	1
00100	91055		19960101	20101231	1
00100	91105		19960101	20101231	1
00100	92511		19960101	*	1
00100	92512		19960101	*	1
00100	92516		19960101	*	1
00100	92520		19960101	*	1
00100	92531		19960101	19960101	9
00100	92533		19960101	19960101	9
00100	92543		19960101	*	1
00100	92950		19960101	*	1
00100	92953		19960101	*	1
00100	92960		19960101	*	1
00100	92961		20010701	*	1
00100	93000		19960101	*	1
00100	93005		19960101	*	1
00100	93010		19960101	*	1
00100	93015		19960101	20090701	1
00100	93016		19960101	20090701	1
00100	93017		19960101	20090701	1
00100	93018		19960101	20090701	1
00100	93040		19960101	*	1
00100	93041		19960101	*	1
00100	93042		19960101	*	1
00100	93303		19980101	*	0
00100	93304		19980101	*	0
00100	93306		20090101	*	1
00100	93307		19960101	*	1
00100	93308		19960101	*	1
00100	93312		19960101	*	1
00100	93313		19960101	*	1
00100	93314		19960101	*	1
00100	93315		20020701	*	1
00100	93316		20020701	*	1
00100	93317		20020701	*	1
00100	93318		20020701	*	0
00100	93320		19960101	19970101	1
00100	93321		19960101	19970101	1
00100	93325		19960101	19970101	1
00100	93351		20090101	*	1
00100	93451		20110101	*	1
00100	93456		20110101	*	1
00100	93457		20110101	*	1
00100	93501		19960101	20101231	1
00100	93561		20080401	*	0
00100	93562		20080401	*	0
00100	93701		20020101	*	0
00100	93922		19960101	*	1
00100	93923		19960101	*	1
00100	93924		19960101	*	1
00100	93925		19960101	*	1
00100	93926		19960101	*	1
00100	93930		19960101	*	1
00100	93931		19960101	*	1
00100	93965		19960101	*	1
00100	93970		19960101	*	1
00100	93971		19960101	*	1
00100	93975		19960101	*	1
00100	93976		19960101	*	1
00100	93978		19960101	*	1
00100	93979		19960101	*	1
00100	93980		19960101	*	1
00100	93981		19960101	*	1
00100	94002		20070101	*	1
00100	94004		20070101	*	1
00100	94160		19960101	19970331	1
00100	94200		20000905	*	1
00100	94250		20011001	*	0
00100	94640		19960101	*	1
00100	94644		20080401	*	1
00100	94650		19960101	20030331	1
00100	94651		19960101	20030331	1
00100	94656		19960101	20061231	1
00100	94660		19960101	*	1
00100	94662		19960101	*	1
00100	94680		19960101	*	1
00100	94681		19960101	*	1
00100	94690		19960101	*	1
00100	94760		19960101	*	0
00100	94761		19960101	*	0
00100	94762		19960101	*	1
00100	94770		19960101	*	1
00100	95812		20030101	*	0
00100	95813		20030101	*	0
00100	95816		20030101	*	0
00100	95819		20030101	*	0
00100	95822		20030101	*	0
00100	95829		20030101	*	0
00100	95955		20000905	*	0
00100	95956		20020401	*	0
00100	95957		20020401	*	0
00100	96360		20090101	*	0
00100	96365		20090101	*	0
00100	96372		20090101	*	0
00100	96373		20090101	*	0
00100	96374		20090101	*	0
00100	96375		20090101	*	0
00100	96376		20090701	*	0
00100	99143		20060401	*	0
00100	99144		20060401	*	0
00100	99145		20091001	*	0
00100	99148		20060101	*	0
00100	99149		20060101	*	0
00100	99150		20091001	*	0
00100	99201		19960101	*	0
00100	99202		19960101	*	0
00100	99203		19960101	*	0
00100	99204		19960101	*	0
00100	99205		19960101	*	0
00100	99211		19960101	*	0
00100	99212		19960101	*	0
00100	99213		19960101	*	0
00100	99214		19960101	*	0
00100	99215		19960101	*	0
00100	99217		19960101	*	0
00100	99218		19960101	*	0
00100	99219		19960101	*	0
00100	99220		19960101	*	0
00100	99221		19960101	*	0
00100	99222		19960101	*	0
00100	99223		19960101	*	0
00100	99224		20110101	*	0
00100	99225		20110101	*	0
00100	99226		20110101	*	0
00100	99231		19960101	*	0
00100	99232		19960101	*	0
00100	99233		19960101	*	0
00100	99234		20090701	*	0
00100	99235		20090701	*	0
00100	99236		20090701	*	0
00100	99238		19960101	*	0
00100	99239		20090701	*	0
00100	99241		19960101	20091231	0
00100	99242		19960101	20091231	0
00100	99243		19960101	20091231	0
00100	99244		19960101	20091231	0
00100	99245		19960101	20091231	0
00100	99251		19960101	20091231	0
00100	99252		19960101	20091231	0
00100	99253		19960101	20091231	0
00100	99254		19960101	20091231	0
00100	99255		19960101	20091231	0
00100	99261		19960101	20051231	0
00100	99262		19960101	20051231	0
00100	99263		19960101	20051231	0
00100	99271		19960101	20051231	0
00100	99272		19960101	20051231	0
00100	99273		19960101	20051231	0
00100	99274		19960101	20051231	0
00100	99275		19960101	20051231	0
00100	99281		19960101	*	0
00100	99282		19960101	*	0
00100	99283		19960101	*	0
00100	99284		19960101	*	0
00100	99285		19960101	*	0
00100	99288		19960101	19960101	9
00100	99293		20030101	20081231	0
00100	99294		20030101	20081231	0
00100	99295		19960101	20081231	0
00100	99296		19960101	20081231	0
00100	99297		19960101	20030331	0
00100	99298		20030101	20081231	0
00100	99299		20030101	20081231	0
00100	99300		20060101	20081231	0
00100	99301		19960101	20051231	0
00100	99302		19960101	20051231	0
00100	99303		19960101	20051231	0
00100	99304		20060101	*	0
00100	99305		20060101	*	0
00100	99306		20060101	*	0
00100	99307		20060101	*	0
00100	99308		20060101	*	0
00100	99309		20060101	*	0
00100	99310		20060101	*	0
00100	99311		19960101	20051231	0
00100	99312		19960101	20051231	0
00100	99313		19960101	20051231	0
00100	99315		20090701	*	0
00100	99318		20060101	*	0
00100	99321		19960101	20051231	0
00100	99322		19960101	20051231	0
00100	99323		19960101	20051231	0
00100	99324		20060101	*	0
00100	99325		20060101	*	0
00100	99326		20060101	*	0
00100	99327		20060101	*	0
00100	99328		20060101	*	0
00100	99331		19960101	20051231	0
00100	99332		19960101	20051231	0
00100	99333		19960101	20051231	0
00100	99334		20060101	*	0
00100	99335		20060101	*	0
00100	99336		20060101	*	0
00100	99337		20060101	*	0
00100	99341		19960101	*	0
00100	99342		19960101	*	0
00100	99343		19960101	*	0
00100	99347		19980401	*	0
00100	99348		19980401	*	0
00100	99349		19980401	*	0
00100	99351		19960101	19980331	0
00100	99352		19960101	19980331	0
00100	99353		19960101	19980331	0
00100	99354		19960101	*	0
00100	99355		19960101	*	0
00100	99356		19960101	*	0
00100	99357		19960101	*	0
00100	99466		20090101	*	0
00100	99468		20090101	*	0
00100	99469		20090101	*	0
00100	99471		20090101	*	0
00100	99472		20090101	*	0
00100	99475		20090101	*	0
00100	99476		20090101	*	0
00100	99477		20080101	*	0
00100	99478		20090101	*	0
00100	99479		20090101	*	0
00100	99480		20090101	*	0
00102	C8921		20080701	*	1
00102	C8922		20080701	*	1
00102	C8923		20080701	*	1
00102	C8924		20080701	*	1
00102	C8925		20080701	*	1
00102	C8926		20080701	*	1
00102	C8927		20080701	*	0
00102	C8929		20100101	*	1
00102	C8930		20100101	*	1
00102	G0001		19960101	19960401	1
00102	G0272		20030101	20040331	1
00102	G0345		20050101	20051231	1
00102	G0347		20050101	20051231	1
00102	G0351		20050101	20051231	0
00102	G0353		20050101	20051231	0
00102	G0354		20050401	20051231	0
00102	G0380		20081001	*	1
00102	G0381		20081001	*	1
00102	G0382		20081001	*	1
00102	G0383		20081001	*	1
00102	G0384		20081001	*	1
00102	G0406		20100701	*	0
00102	G0407		20100701	*	0
00102	G0408		20100701	*	0
00102	G0425		20100701	*	0
00102	G0426		20100701	*	0
00102	G0427		20100701	*	0
00102	M0005		19960101	19960101	9
00102	M0006		19960101	19960101	9
00102	M0007		19960101	19960101	9
00102	M0008		19960101	19960101	9
00102	M0302		20000605	20020331	1
00102	0178T		20090401	*	1
00102	0179T		20090401	*	1
00102	0180T		20090401	*	1
00102	01995		19960101	20061231	0
00102	01996		19960101	*	1
00102	0213T		20100701	*	1
00102	0216T		20100701	*	1
00102	0228T		20101001	*	1
00102	0230T		20101001	*	1
00102	0251T		20110101	*	1
00102	0253T		20110101	20110101	9
00102	0282T		20120101	*	1
00102	0283T		20120101	*	1
00102	31505		19960101	*	1
00102	31515		19960101	*	1
00102	31527		19960101	*	1
00102	31622		19960101	*	1
00102	31634		20110101	*	1
00102	31645		19960101	*	1
00102	36000		19960101	*	1
00102	36005		19960101	20071001	1
00102	36010		19960101	*	0
00102	36011		19960101	*	1
00102	36012		19960101	*	1
00102	36013		19960101	*	1
00102	36014		19960101	*	1
00102	36015		19960101	*	1
00102	36400		19960101	*	1
00102	36405		19960101	*	1
00102	36406		19960101	*	1
00102	36410		19960101	*	1
00102	36420		19960101	*	1
00102	36425		19960101	*	1
00102	36430		19960101	*	1
00102	36440		19960101	*	1
00102	36600		19960101	*	1
00102	36640		19960101	*	1
00102	43752		20040101	*	1
00102	43753		20110101	*	1
00102	43754		20110101	*	1
00102	61026		20011001	*	1
00102	61055		20011001	*	1
00102	62274		19960101	20000604	1
00102	62275		19960101	20000604	1
00102	62276		19960101	20000604	1
00102	62277		19960101	20000604	1
